chunk_index,heading,page_num,chunk_text
0,"2.1
Program Logging",2,"119 2 Traditional Techniques for Software Fault Localization Yihao Li1, Linghuan Hu2, W. Eric Wong3, Vidroha Debroy3,4, and Dongcheng Li3 1 School of Information and Electrical Engineering, Ludong University, Yantai, China 2 Google Inc., Mountain View, CA, USA 3 Department of Computer Science, University of Texas at Dallas, Richardson, TX, USA 4 Dottid Inc., Dallas, TX, USA As mentioned in Chapter 1, software fault localization is one of the most expensive activities in program debugging. The high demand for automatic fault localization techniques that can guide programmers to the locations of faults, with minimal human intervention, has fueled the proposal and development of various techni- ques over recent decades. Slice-based, program spectrum-based, statistics-based, machine learning-based, model-based, and other such techniques have greatly advanced the effectiveness of fault localization. While a thorough discussion of these advanced techniques is quite essential (starting from Chapter 3), it is neces- sary to review some traditional and intuitive fault localization techniques that have been commonly adopted in debugging research and applications. In this way, we can obtain a comprehensive understanding of progress, issues, and con- cerns in software fault localization. Therefore, this chapter will focus on the tra- ditional and intuitive fault localization techniques, including program logging, assertions, breakpoints, and profiling. 2.1 Program Logging Program logging is both a common and an essential software development practice that is used to record vital information regarding a program’s execution [1]. This saved information is later used by developers to determine and analyze the Handbook of Software Fault Localization: Foundations and Advances, First Edition. Edited by W. Eric Wong and T.H. Tse. © 2023 The Institute of Electrical and Electronics Engineers, Inc. Published 2023 by John Wiley & Sons, Inc. 120 2 Traditional Techniques for Software Fault Localization Table 2.1 Additional program spectra relevant to fault localization. Level Description"
1,"2.1
Program Logging",2,"Foundations and Advances, First Edition. Edited by W. Eric Wong and T.H. Tse. © 2023 The Institute of Electrical and Electronics Engineers, Inc. Published 2023 by John Wiley & Sons, Inc. 120 2 Traditional Techniques for Software Fault Localization Table 2.1 Additional program spectra relevant to fault localization. Level Description TRACE Very detailed information DEBUG Detailed information on the flow through the system INFO Interesting runtime events (such as startups and shutdowns) WARNING Runtime oddities and recoverable errors ERROR Other runtime errors or unexpected conditions FATAL Severe errors causing premature termination Source: Adapted from log4j [2]. elements of the source code that were present in successful or failed executions. When abnormal program behavior is detected, developers examine the program log in terms of saved log files or printed run-time information to diagnose the underlying cause of failure. Messages can be logged at various levels, which often indicate different levels of severity of the cause and/or verbosity of the logging. For example, Table 2.1 provides a list of common levels from Apache Commons Logging [3]. The sample code in Table 2.2 illustrates a typical usage pattern of Sim- ple Logging Facade for Java (SLF4J) [4], a simple facade or abstraction for various logging frameworks (such as log4j [5], Logback [6], and Java Logging API [7]), which allows the end user to plug in the desired logging framework at deployment time. In addition, Table 2.3 shows a list of popular logging frameworks with their corresponding log levels and supported programming languages. As shown in the table, C logging framework sclog4c has the most (12) log levels, while frameworks Table 2.2 SLF4J – a logging façade. import org.slf4j.Logger; import org.slf4j.LoggerFactory; public class HelloWorld { final Logger logger = LoggerFactory.getLogger(HelloWorld.class); public void doSomething() { // some other code logger.debug(""This is a DEBUG level message""); logger.info(""This is an INFO level message""); logger.warning(""This is a WARNING level message""); logger.error (""This is an ERROR level message""); logger.fatal(""This is a FATAL level message""); } }"
2,"2.2
Assertions",3,"public class HelloWorld { final Logger logger = LoggerFactory.getLogger(HelloWorld.class); public void doSomething() { // some other code logger.debug(""This is a DEBUG level message""); logger.info(""This is an INFO level message""); logger.warning(""This is a WARNING level message""); logger.error (""This is an ERROR level message""); logger.fatal(""This is a FATAL level message""); } } Source: Adapted from log4j [2]. 2.2 Assertions 121 Table 2.3 Summary of tools used in the fault localization studies. Framework Log levels Language log4j [5] FATAL; ERROR; WARN; INFO; DEBUG; TRACE Java Java Logging API [7] SEVERE; WARNING; INFO; CONFIG; FINE; FINER; FINEST Java Apache Common Logging [3] FATAL; ERROR; WARN; INFO; DEBUG; TRACE Java SLF4J [4] ERROR; WARN; INFO; DEBUG; TRACE Java tinylog [8] ERROR; WARNING; INFO; DEBUG; TRACE Java Logback [6] ERROR; WARN; INFO; DEBUG; TRACE; Java Object Guy [9] DEBUG; INFO STATUS; WARNING; ERROR; CRITICAL; FATAL Java; .Net Smart Inspect [10] DEBUG; VERBOSE; MESSAGE; WARNING; ERROR; FATAL Java; .Net NLog [11] DEBUG; TRACE; INFO; WARN; ERROR; FATA .Net log4net [12] DEBUG; INFO; WARN; ERROR; FATA .Net Enterprise Library [13] VERBOSE; INFORMATION; WARNING; ERROR; CRITICAL .Net log4c [14] VERBOSE; INFORMATION; WARNING; ERROR; CRITICAL C sclog4c [15] ALL; FINEST; FINER; FINE; DEBUG; CONFIG; INFO; WARNING; ERROR; SEVERE; FATAL; OFF C Syslog [16] EMERGENCY; ALERT; CRITICAL; ERROR; WARNING; NOTICE; INFORMATION; DEBUG C zlog [17] NOTICE; INFO; WARNING; ERROR; CRITICAL; FATAL; UNKNOWN C Pantheios [18] EMERGENCY; ALERT; CRITICAL; ERROR; WARNING; NOTICE; INFO; DEBUG C; C++ SLF4J, tinylog, Logback, Enterprise Library, log4c, Syslog, and zlog have the least (5) log levels. The three most commonly used levels are WARN/WARNING (17), INFO/INFORMATION/INFOSTATUS (16), and ERROR (16). 2.2 Assertions Assertions [19] are constraints added to a program that are required to be true during the correct operation of a program. Developers specify these assertions in the program code as conditional statements that will terminate execution if"
3,"2.2
Assertions",4,"commonly used levels are WARN/WARNING (17), INFO/INFORMATION/INFOSTATUS (16), and ERROR (16). 2.2 Assertions Assertions [19] are constraints added to a program that are required to be true during the correct operation of a program. Developers specify these assertions in the program code as conditional statements that will terminate execution if 122 2 Traditional Techniques for Software Fault Localization static void Main (string[] args) { string inputString; int minutes; do { Console.WriteLine(""Enter the number of minutes to add.""); inputString = Console.ReadLine(); } while (!int.TryParse(inputString, out minutes)); ShowTimePlusMinutes(minutes); Console.ReadLine(); } static void ShowTimePlusMinutes(int minutes) { Debug.Assert(minutes >= 0); DateTime time = DateTime.Now.AddMinutes(minutes); Console.WriteLine(""In {0} minutes it will be {1}"", minutes, time); } Figure 2.1 Debugging using assertion in a C# program. Source: Carr [20]/BlackWasp. they evaluate to false. Thus, they can be used to detect erroneous program behav- ior at runtime. For example, Figure 2.1 shows how to create an assertion in C# using the static Assert method of the Debug class [21]. This class is found within the System.Diagnostics namespace. To demonstrate the use of this method, cre- ate a new console application and add the following statement to the top of the class containing the Main method: using System.Diagnostics. The simplest syn- tax for the Debug.Assert method requires only a single Boolean parameter. This parameter contains the predicate that evaluates to true under normal conditions. As shown in the table, the program requests the additional number of minutes from the user. Once a valid number has been entered, the program outputs the resulting time after that number of minutes. In the ShowTimePlusMinutes method, the first line asserts the precondition that the number of minutes is zero or more. The program in Figure 2.1 contains a bug. The ShowTimePlusMinutes method assumes that the number of minutes has been pre-validated and will be a non- negative integer. However, the Main method has not correctly validated the user input and will allow the number of minutes to be negative. This means that the assertion can be triggered by entering a negative number. Suppose a user executes the program and enters a negative value. As shown in Figure 2.2, the assertion is triggered and a dialog box is displayed. Specifically, the dialog box shows the stack trace at the point where the assertion fails. It provides the user with three options. If the user selects Abort, the program will be immediately halted and closed. If Retry is selected, the program will enter the debug mode to allow the user to"
4,"2.2 Assertions
123",5,"the dialog box shows the stack trace at the point where the assertion fails. It provides the user with three options. If the user selects Abort, the program will be immediately halted and closed. If Retry is selected, the program will enter the debug mode to allow the user to 2.2 Assertions 123 Figure 2.2 A dialog box is displayed when the assertion is triggered. Source: Schmich [22]. investigate and go through the code as required. Otherwise, the Ignore option will ignore the assertion and instruct the program to continue execution. Murillo et al. [6] proposed system-wide assertions, which enable the observa- tion and correlation of Hardware/Software interactions among several cores, devices, and software tasks. A language, SWAT, was developed to create such assertions to facilitate debugging at the system level. Al-Sharif et al. [3] intro- duced Dynamic Temporal Assertions (DTA) into the conventional source-level debugging session. Each assertion is capable of: (1) validating a sequence of exe- cution states, named the temporal interval, and (2) referencing outof-scope vari- ables, which may not be live in the execution state at evaluation time. Boos et al. [23] proposed BRACE, a framework that enables developers to correlate cyber and physical properties of the system via assertions. First, BRACE intro- duces new forms of assertions catering to the unique demands of cyber-physical systems (CPS). For example, CPS assertions can span logical and physical vari- ables and nodes, and specify both spatial and temporal properties. They are checked by an external, omniscient process that can independently observe the physical states. Second, BRACE supports asynchronous checking of CPS assertions to avoid critical timing failures caused by processing latencies. Third, BRACE supports explicit actuation of error handling code. For example, when an assert ion is violated, the system can be configured to either halt or execute a user-provided callback function. Fourth, BRACE can be configured to tolerate spatial and temporal discrepancies. Schwartz-Narbonne et al. [15] proposed parallel assertions, a mechanism for expressing correctness criteria in parallel code. These parallel assertions allow users to use intuitive syntax and semantics to express the assumptions in a multi-threaded program involving both the cur- rent state and any actions that other parallel executing threads may take (such as accesses to shared memory)."
5,"2.3
Breakpoints",6,"a mechanism for expressing correctness criteria in parallel code. These parallel assertions allow users to use intuitive syntax and semantics to express the assumptions in a multi-threaded program involving both the cur- rent state and any actions that other parallel executing threads may take (such as accesses to shared memory). 124 2 Traditional Techniques for Software Fault Localization 2.3 Breakpoints Breakpoints are used to pause the program when the execution reaches a specified point, to allow the user to examine the current state. After a breakpoint is trig- gered, the user can modify the value of variables or continue the execution to observe the progress of the program. Data breakpoints can be configured to trigger when the value changes for a specified expression. Conditional breakpoints pause the execution upon the satisfaction of a predicate specified by the user. These breakpoints can be added to statements in a program or class library [24]. Debug- ging tools such as GNU GDB [25] and Microsoft Visual Studio Debugger [26] sup- port the use of breakpoints. Take the latter as an example. We will use a simple console application (Figure 2.3) that computes and displays multiplication tables. A breakpoint can be added by positioning the cursor on the desired line before selecting “Toggle Breakpoint” from the Debug menu. To test this, position the cur- sor in the first line of code containing a Console.WriteLine statement. The line should change color, and you will see a circular icon appear in the gray margin area to the left of the code as shown in Figure 2.4. This icon is called a breakpoint glyph. The filled circle glyph indicates an active, normal breakpoint. When the for (int i = 1; i <= 10; i++) { Console.WriteLine(""Multiplication table {0}.\n"", i); for (int j = 1; j <= 10; j++) { Console.WriteLine(""{0} x {1} = {2}"", j, i, i * j); } Console.WriteLine(""\n""); }"
6,"2.4
Profiling",7,"breakpoint glyph. The filled circle glyph indicates an active, normal breakpoint. When the for (int i = 1; i <= 10; i++) { Console.WriteLine(""Multiplication table {0}.\n"", i); for (int j = 1; j <= 10; j++) { Console.WriteLine(""{0} x {1} = {2}"", j, i, i * j); } Console.WriteLine(""\n""); } Figure 2.3 A console application. Figure 2.4 Add a breakpoint under Visual Studio. 2.4 Profiling 125 Figure 2.5 Disable a breakpoint under Visual Studio. above code is executed, the breakpoint location will be hit. The program will enter break mode, allowing users to go through the code using the debugging tools. If a breakpoint is no longer required, it can be removed using the same actions used to create it. Users can select the marked line of code and choose the “Toggle Breakpoint” command. Alternatively, simply click the breakpoint glyph. When a breakpoint is successfully removed, the glyph disappears as shown in Figure 2.5. When debugging large programs, it is common to set many breakpoints, possibly in several different files. Once the debugging operation is complete, users can remove all of the breakpoints in a project by selecting the “Delete All Breakpoints” option from the Debug menu. If users still want to prevent a breakpoint from halt- ing execution without deleting it completely, they can disable all of the break- points in the project by selecting the “Disable All Breakpoints” command from the Debug menu. To disable a single breakpoint, right-click its glyph and choose “Disable Breakpoint” from the context-sensitive menu that appears. 2.4 Profiling Profiling in software engineering refers to the runtime analysis that measures the performance of a program from different perspectives, such as execution time, CPU/GPU usage, and memory usage, which helps practitioners inspect and opti- mize the program implementation. Table 2.4 shows a list of profiling tools, such as Eclipse Test & Performance Tools Platform (TPTP) [28], gprof [29], and JVM Mon- itor [30], which provide comprehensive profiling solutions. Typically, profiling is used for performance optimization rather than fault local- ization. However, many fault localization techniques use profiling to collect data for analysis. To reduce the overhead, some advanced profiling techniques are pro- posed so that the analysis can be conducted in a cost-effective way. One of the most"
7,"2.4 Profiling
127",9,"Typically, profiling is used for performance optimization rather than fault local- ization. However, many fault localization techniques use profiling to collect data for analysis. To reduce the overhead, some advanced profiling techniques are pro- posed so that the analysis can be conducted in a cost-effective way. One of the most 126 2 Traditional Techniques for Software Fault Localization Table 2.4 A list of profiling tools (some also appear in [27]). Name Vendor Language/Technology AppDynamics AppDynamics Java/.NET/PHP/Node.js/C++/ Python/ Apache Web Server/GoLang Dynatrace Dynatrace Java/.NET/Node.js/AWS/Azure/ Cloud Foundry/OpenShift/Docker/OpenStack/ VMware/OracleDB/MySQL JProfiler EJ Technologies Java Visual Studio Build-in Profile Microsoft C/C++ VisualVM Oracle Java NetBeans Profiler Oracle Java JBoss Profiler Red Hat Java AQTime Pro SmartBear Java/.NET/C/C++/Delphi/JScript/JavaScript/ VBScript/Silverlight/ Native 64-bit Application Prefix Stackify Java/.NET Retrace Stackify Java/.NET YourKit YourKit Java/.NET XRebel Perforce Java GCC GNU C Valgrind Valgrind C Callgrind Valgrind C++ KCachegrind N/A C gprof GNU C/C++ Shark Apple C gperftools Google C OProfile N/A Linux Kernel VTune Intel C/C++/ C#/ Fortran/Java/Python/Go/ASM assembly TAU Advanced Computing Laboratory Fortran/C/C++/UPC/Java/Python CodeAnalyst AMD Java/CLR/Native Code perf N/A Linux System ANTS Red Gate .NET/ASP.NET Arm Map Arm Holdings C/C++/Fortran 2.4 Profiling 127 Table 2.4 (Continued) Name Vendor Language/Technology DevPartner Studio Micro Focus C/C++/.NET DTrace Sun Microsystems Assembly language /C /C++ /Java/Erlang/ JavaScript/Perl/PHP /Python/Ruby/Shell Script/Tcl FusionReactor FusionReactor Java/ColdFusion/MongoDB GlowCode Electric Software C++/ C#/.NET Intel Advisor Intel C/C++/Fortran/C# LTTng N/A C/ C+ +/Java/Python Oracle Solaris Studio Oracle C/C++/Java/Scala/Fortran Oracle Developer Studio Oracle C/C++/Java/Scala/Fortran PAPI Innovative Computing Laboratory C/C++/Fortran/Java/MATLAB Chrome DevTools Google JavaScript Firefox Developer Tools Firefox JavaScript Xcode Apple Objective-C/Swift TPTP IBM Java JVM Monitor N/A Java Source: Adapted from List of Performance Analysis Tools [27]. common uses of profiling in fault localization is to provide the program spectrum, which details the execution information of a program from certain perspectives, such as execution information for conditional branches or loop-free intra- procedural paths. For example, Hauswirth and Chilimbi [31] proposed SWAT to identify memory leaks or code that performs unexpectedly poorly. SWAT moni- tors the subject program’s memory allocations for objects and their loads to con- struct a heap model that can report potential leaks. Based on the assumption that many hidden or longstanding bugs often lurk in some rarely executed locations, an adaptive profiling that samples executions of code segments at a rate inversely pro- portional to their execution frequency was used to collect the data to improve"
8,"2.5
Discussion",10,"model that can report potential leaks. Based on the assumption that many hidden or longstanding bugs often lurk in some rarely executed locations, an adaptive profiling that samples executions of code segments at a rate inversely pro- portional to their execution frequency was used to collect the data to improve 128 2 Traditional Techniques for Software Fault Localization detection strength with low overhead. Results indicated that SWAT can identify potential memory leaks as well as their locations in the code. Chilimbi et al. [32] developed a debugging tool, HOLMES, to identify the causes of program fail- ures from failing executions and successful executions. The path profiling was used to collect the execution histories of program paths. To achieve low overhead, an adaptive scheme that only starts profiling after observing a failure was adopted. The data collected were then analyzed to identify the locations that are highly likely to contain bugs. Runciman and Wakeling [33] designed and implemented a tool to profile the content of heap memory such as the memory usage of lazy functional programs. By doing so, it helped users optimize the implementation by reducing the memory consumption as well as identify potential space faults of the lazy functions. 2.5 Discussion Logging is an important aspect of software development and promotes traceability of actions and operations. Well-written logging code offers quick debugging, easy maintenance, and structured storage of an application’s runtime information. However, it can slow down an application if too verbose, which can cause scrolling blindness [5]. The role of assertions is to identify bugs in a program. In practice, the major ben- efit of assertions is to make testing more effective. An assertion that is never exe- cuted does not provide any value. An assertion is only useful if the path containing it is executed [34]. Assuming the code is being properly tested, assertions can aid from the following aspects [34]: • Detecting subtle errors that might otherwise go undetected. • Detecting errors soon after they occur. • Declaratively stating conditions of the code that are guaranteed to be true."
9,"2.5 Discussion
129",11,"path containing it is executed [34]. Assuming the code is being properly tested, assertions can aid from the following aspects [34]: • Detecting subtle errors that might otherwise go undetected. • Detecting errors soon after they occur. • Declaratively stating conditions of the code that are guaranteed to be true. However, there are downsides to assertions. One of the biggest is that, like other code, assertions may themselves contain errors. A bug in an assertion will likely cause one of the following problems [34]: • Reporting an error where none exists. This kind of bug can lead an unwary pro- grammer down a blind alley. Most programmers will learn to approach assertion failures with the proper skepticism after making such mistakes a few times. • Failing to report a bug that does exist. This problem is less severe than the first one. If the program uses assertions heavily, it is likely that the error will be caught sooner or later by another assertion. Since an assertion that actually 2.5 Discussion 129 detects errors is more valuable than one that does not, it is a good idea to sim- ulate failed test cases to identify relevant assertions that actually do fail. • Not being side-effect free. This problem can be very dangerous. Assertions are not supposed to affect the logic of a program, i.e. the program should run in the same way with or without them. Assertions are usually stripped out of a program before the final program binaries are delivered to customers. However, side effects do sometimes slip in when the assertions are not properly stripped out, or when the assertions are not stripped out because they were thought to be benign but actually change the program behavior. In the worst cases, these will introduce severe bugs to the build released to the customer. One way to avoid these kinds of bugs is to test the release build (with assertions stripped out) before releasing to the customer."
